feature,beta_f,beta_a,beta_g,pvalue_f,pvalue_a,pvalue_g,Contrast_name,Labels
Cerebelum_Crus2_L,0.06106633035682472,-0.007941849048337984,0.281704027481061,0.6738449334897615,0.4250648138781531,0.2117560949372267,nBack_con_0002,12
Cerebelum_Crus2_R,0.022748248101817303,-0.008432056803898065,0.2916901922856737,0.8743601753150865,0.39407905207603244,0.19373514852880858,nBack_con_0002,12
Cerebelum_3_L,0.00886140006886408,-0.008684405702015589,0.2968669427259249,0.9507878089971583,0.3799385866721894,0.18589731593316483,nBack_con_0002,12
Cerebelum_3_R,-0.14939974986178042,-0.007618148634425063,0.27533385699932866,0.3012327689590013,0.441797417194126,0.2199944902110551,nBack_con_0002,12
Cerebelum_4_5_L,0.21543442572965313,-0.010014811593838272,0.32590400021798605,0.14014364030133747,0.31302897841715516,0.14878018082992175,nBack_con_0002,12
Cerebelum_4_5_R,-0.09961469370599706,-0.00807578513672711,0.28453992809169043,0.4875840204670808,0.4132756185269535,0.20389067988725973,nBack_con_0002,12
Cerebelum_6_L,-0.02028819146105719,-0.008543989447468056,0.2939697304677811,0.8869681534339687,0.3852495996246539,0.18827752570104894,nBack_con_0002,12
Cerebelum_6_R,-0.04501490204043568,-0.008510133077879014,0.2933220603504386,0.7523338704476885,0.38692161554680127,0.18910599948108286,nBack_con_0002,12
Cerebelum_7b_L,-0.011836391345394047,-0.008615157984112436,0.2954330249017251,0.9338067312026463,0.38063170791909307,0.18560219055064675,nBack_con_0002,12
Cerebelum_7b_R,-0.05021343308705135,-0.008681967159066061,0.29688894827450496,0.725475962705863,0.37727074106790215,0.18375376374209118,nBack_con_0002,12
Cerebelum_8_L,0.07596079234899358,-0.008545928381387177,0.2941939221057679,0.5963181434619071,0.3847781470731375,0.18774640659491937,nBack_con_0002,12
Cerebelum_8_R,-0.013895181799314543,-0.008590123898442974,0.2949246922223947,0.922458365727975,0.38219298373550903,0.18650539308807934,nBack_con_0002,12
Cerebelum_9_L,-0.007935316004740997,-0.008613409283315825,0.2954047851835957,0.9556370379595732,0.38074071366913587,0.18567964392906278,nBack_con_0002,12
Cerebelum_9_R,0.2339158276420736,-0.008988509808027801,0.3044247186421143,0.11418779735190449,0.3638046642061945,0.1755812958701135,nBack_con_0002,12
Cerebelum_10_L,0.15448849226378897,-0.00939962229276857,0.31230058779531733,0.28592647970281293,0.3416387199452299,0.16432967037580748,nBack_con_0002,12
Cerebelum_10_R,0.06113616746270603,-0.008695303821995974,0.2972037541998298,0.6692086287898849,0.3764182002102745,0.18321391139552567,nBack_con_0002,12
Vermis_1_2,0.004441262701840662,-0.008633003964796094,0.29580474815910596,0.9751881167508499,0.3804897164404847,0.18571806550811387,nBack_con_0002,12
Vermis_3,-0.1254485318683925,-0.008746346242752051,0.2985052149957075,0.3813302207897523,0.3746144008167315,0.18200194718830387,nBack_con_0002,12
Vermis_4_5,0.046313021455547096,-0.008585368812823879,0.2949177697945608,0.7455309690220924,0.3823127404490969,0.186533003700593,nBack_con_0002,12
Vermis_6,0.06255507941251122,-0.00881972733379422,0.29979776573481587,0.6618880261389082,0.37002565897541473,0.17984767734617435,nBack_con_0002,12
Vermis_7,-0.005132682363908712,-0.00861089463369358,0.29534730515904367,0.9712954052970555,0.38092593822044196,0.1857878775094164,nBack_con_0002,12
Vermis_8,-0.002179791628656955,-0.008616195297423383,0.2954561348236607,0.9878108160220307,0.3806063323201263,0.1856055034237084,nBack_con_0002,12
Vermis_9,0.07389161681302586,-0.008719179890276369,0.29771100720843363,0.6067851596078546,0.3753289149934165,0.18261972390684422,nBack_con_0002,12
Vermis_10,0.06315622703781662,-0.008428327208767869,0.29171722394313904,0.6597365366803944,0.39167030992523433,0.19175391667157027,nBack_con_0002,12
Precentral_L,0.08340328749843404,0.002718468812678701,-0.13808750423524857,0.5584154869441826,0.7999590232012597,0.5744001775019454,nBack_con_0002,23
Precentral_R,0.2492015246320918,0.0013107259406076436,-0.10886346787641793,0.08988275116573433,0.9038200177043323,0.6611053373475366,nBack_con_0002,23
Frontal_Sup_L,0.1081948665714211,0.0032133989342352214,-0.14860517767023895,0.4484363711529774,0.7645259480334172,0.545659656055153,nBack_con_0002,23
Frontal_Sup_R,0.24026706576956697,0.00293473791664241,-0.14274045668467134,0.10444025019815797,0.7854196313620028,0.5634716224887322,nBack_con_0002,23
Frontal_Sup_Orb_L,0.26770478828818556,0.0030828149866754086,-0.1470437081965733,0.07061068993854834,0.7755052191330305,0.5528693823575552,nBack_con_0002,23
