Score,Type,Model,Classifier,Contrast_name,Balanced_accuracy
0.45,test,svm_kernel_tuned,1,nBack_con_0002,0.44505494505494503
0.8125,train,naive_bayes,1,nBack_con_0002,0.7952933591231464
0.35,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.35,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.65,test,rfc,1,nBack_con_0002,0.5
0.8875,train,logistic_regression,1,nBack_con_0002,0.8681495809155384
0.65,test,logistic_regression,1,nBack_con_0002,0.5
0.7375,train,svm_kernel_default,1,nBack_con_0002,0.6379310344827587
0.45,test,svm_kernel_default,1,nBack_con_0002,0.5
0.7125,train,svm_kernel_tuned,1,nBack_con_0002,0.603448275862069
0.45,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.7375,train,naive_bayes,1,nBack_con_0002,0.7197430696416498
0.55,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.45,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.45,test,rfc,1,nBack_con_0002,0.5
0.875,train,logistic_regression,1,nBack_con_0002,0.8350236646382692
0.45,test,logistic_regression,1,nBack_con_0002,0.5
0.8,train,svm_kernel_default,1,nBack_con_0002,0.7419354838709677
0.65,test,svm_kernel_default,1,nBack_con_0002,0.6212121212121212
0.9375,train,svm_kernel_tuned,1,nBack_con_0002,0.9312047399605003
0.6,test,svm_kernel_tuned,1,nBack_con_0002,0.5757575757575758
0.7375,train,naive_bayes,1,nBack_con_0002,0.7205398288347598
0.45,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.55,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.55,test,rfc,1,nBack_con_0002,0.5
0.85,train,logistic_regression,1,nBack_con_0002,0.8242264647794602
0.55,test,logistic_regression,1,nBack_con_0002,0.5
0.875,train,svm_kernel_default,1,nBack_con_0002,0.8505595786701777
0.45,test,svm_kernel_default,1,nBack_con_0002,0.4292929292929293
0.925,train,svm_kernel_tuned,1,nBack_con_0002,0.9150757077024358
0.55,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.7875,train,naive_bayes,1,nBack_con_0002,0.7909809084924292
0.45,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.55,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.55,test,rfc,1,nBack_con_0002,0.5
0.8625,train,logistic_regression,1,nBack_con_0002,0.8462804476629362
0.55,test,logistic_regression,1,nBack_con_0002,0.5
0.7875,train,svm_kernel_default,1,nBack_con_0002,0.7538363171355499
0.65,test,svm_kernel_default,1,nBack_con_0002,0.5119047619047619
0.575,train,svm_kernel_tuned,1,nBack_con_0002,0.5
0.7,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.7875,train,naive_bayes,1,nBack_con_0002,0.7768542199488491
0.3,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.3,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.7,test,rfc,1,nBack_con_0002,0.5
0.8375,train,logistic_regression,1,nBack_con_0002,0.828005115089514
0.7,test,logistic_regression,1,nBack_con_0002,0.5
0.775,train,svm_kernel_default,1,nBack_con_0002,0.7
0.5,test,svm_kernel_default,1,nBack_con_0002,0.5
0.75,train,svm_kernel_tuned,1,nBack_con_0002,0.6666666666666666
0.5,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.7375,train,naive_bayes,1,nBack_con_0002,0.7166666666666667
0.5,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.5,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.5,test,rfc,1,nBack_con_0002,0.5
0.875,train,logistic_regression,1,nBack_con_0002,0.8333333333333333
0.5,test,logistic_regression,1,nBack_con_0002,0.5
0.85,train,svm_kernel_default,1,nBack_con_0002,0.8434343434343434
0.6,test,svm_kernel_default,1,nBack_con_0002,0.65625
0.9,train,svm_kernel_tuned,1,nBack_con_0002,0.8964646464646464
0.5,test,svm_kernel_tuned,1,nBack_con_0002,0.40625
0.7625,train,naive_bayes,1,nBack_con_0002,0.7638888888888888
0.2,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.8,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.8,test,rfc,1,nBack_con_0002,0.5
0.875,train,logistic_regression,1,nBack_con_0002,0.8686868686868687
0.8,test,logistic_regression,1,nBack_con_0002,0.5
0.7875,train,svm_kernel_default,1,nBack_con_0002,0.7258064516129032
0.55,test,svm_kernel_default,1,nBack_con_0002,0.51010101010101
0.725,train,svm_kernel_tuned,1,nBack_con_0002,0.6451612903225806
0.55,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.8,train,naive_bayes,1,nBack_con_0002,0.7774851876234364
0.45,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.5,test,decision_tree,1,nBack_con_0002,0.48484848484848486
1.0,train,rfc,1,nBack_con_0002,1.0
0.55,test,rfc,1,nBack_con_0002,0.5
0.8625,train,logistic_regression,1,nBack_con_0002,0.8225806451612903
0.55,test,logistic_regression,1,nBack_con_0002,0.5
0.8,train,svm_kernel_default,1,nBack_con_0002,0.7762148337595909
0.65,test,svm_kernel_default,1,nBack_con_0002,0.5595238095238095
0.9125,train,svm_kernel_tuned,1,nBack_con_0002,0.9124040920716112
0.6,test,svm_kernel_tuned,1,nBack_con_0002,0.5714285714285714
0.8,train,naive_bayes,1,nBack_con_0002,0.8222506393861893
0.3,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.4,test,decision_tree,1,nBack_con_0002,0.5238095238095238
1.0,train,rfc,1,nBack_con_0002,1.0
0.7,test,rfc,1,nBack_con_0002,0.5
0.875,train,logistic_regression,1,nBack_con_0002,0.8644501278772379
0.7,test,logistic_regression,1,nBack_con_0002,0.5
0.775,train,svm_kernel_default,1,nBack_con_0002,0.7317859445519019
0.75,test,svm_kernel_default,1,nBack_con_0002,0.6428571428571428
0.9625,train,svm_kernel_tuned,1,nBack_con_0002,0.9635718891038041
0.5,test,svm_kernel_tuned,1,nBack_con_0002,0.6153846153846154
0.8375,train,naive_bayes,1,nBack_con_0002,0.8301096067053514
0.35,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.65,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.65,test,rfc,1,nBack_con_0002,0.5
0.85,train,logistic_regression,1,nBack_con_0002,0.8272082527401676
0.65,test,logistic_regression,1,nBack_con_0002,0.5
0.8375,train,svm_kernel_default,1,nBack_con_0002,0.7962475312705728
0.6,test,svm_kernel_default,1,nBack_con_0002,0.5858585858585859
0.9,train,svm_kernel_tuned,1,nBack_con_0002,0.8709677419354839
0.65,test,svm_kernel_tuned,1,nBack_con_0002,0.6313131313131313
0.7,train,naive_bayes,1,nBack_con_0002,0.695852534562212
0.45,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.55,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.55,test,rfc,1,nBack_con_0002,0.5
0.8625,train,logistic_regression,1,nBack_con_0002,0.8285055957867018
0.55,test,logistic_regression,1,nBack_con_0002,0.5
0.8,train,svm_kernel_default,1,nBack_con_0002,0.7762148337595909
0.65,test,svm_kernel_default,1,nBack_con_0002,0.5595238095238095
0.7875,train,svm_kernel_tuned,1,nBack_con_0002,0.7615089514066496
0.7,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.8,train,naive_bayes,1,nBack_con_0002,0.7838874680306905
0.3,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.3,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.7,test,rfc,1,nBack_con_0002,0.5
0.8375,train,logistic_regression,1,nBack_con_0002,0.828005115089514
0.7,test,logistic_regression,1,nBack_con_0002,0.5
0.7875,train,svm_kernel_default,1,nBack_con_0002,0.7395833333333333
0.7,test,svm_kernel_default,1,nBack_con_0002,0.6458333333333333
0.875,train,svm_kernel_tuned,1,nBack_con_0002,0.8489583333333333
0.6,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.8,train,naive_bayes,1,nBack_con_0002,0.7760416666666667
0.4,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.6,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
0.6,test,rfc,1,nBack_con_0002,0.5
0.875,train,logistic_regression,1,nBack_con_0002,0.8489583333333333
0.6,test,logistic_regression,1,nBack_con_0002,0.5
0.7875,train,svm_kernel_default,1,nBack_con_0002,0.7538363171355499
0.75,test,svm_kernel_default,1,nBack_con_0002,0.6785714285714286
0.7625,train,svm_kernel_tuned,1,nBack_con_0002,0.7244245524296675
0.7,test,svm_kernel_tuned,1,nBack_con_0002,0.5
0.825,train,naive_bayes,1,nBack_con_0002,0.8171355498721227
0.3,test,naive_bayes,1,nBack_con_0002,0.5
1.0,train,decision_tree,1,nBack_con_0002,1.0
0.7,test,decision_tree,1,nBack_con_0002,0.5
1.0,train,rfc,1,nBack_con_0002,1.0
